,tf_efficientnet_b7_ns,convnext_base_384_in22ft1k,tf_efficientnet_b6_ns,tf_efficientnet_b5_ns
256,0.02017477750778198,0.006143288612365723,0.016157822608947756,0.014282574653625488
384,0.020861961841583253,0.00921670436859131,0.016326971054077148,0.014382176399230957
456,0.02049936294555664,0.012869172096252442,0.01633096694946289,0.01417391300201416
512,0.020189456939697266,0.015424542427062989,0.016182181835174562,0.013877971172332764
528,0.02050612688064575,0.016488077640533446,0.016123590469360353,0.013953976631164551
600,0.022494513988494873,0.020733911991119385,0.01734187364578247,0.01446758270263672
756,0.033421609401702884,0.034282763004302975,0.025083518028259276,0.019677960872650148
1024,0.05466477155685425,0.06273361921310425,0.04231253147125244,0.032872705459594725
