,model_name,img_size,times
0,swinv2_base_window12to24_192to384_22kft1k,384,0.036494863033294675
1,beit_base_patch16_384,384,0.01531416893005371
2,volo_d3_448,448,0.03190464019775391
3,swin_base_patch4_window12_384,384,0.01277296781539917
4,swinv2_base_window12to16_192to256_22kft1k,256,0.016386983394622804
5,volo_d2_384,384,0.015061788558959961
