,tf_efficientnet_b7_ns,convnext_base_384_in22ft1k,tf_efficientnet_b6_ns,tf_efficientnet_b5_ns
256,0.0165077018737793,0.01080528736114502,0.01382894515991211,0.012277050018310547
384,0.023343007564544677,0.020055499076843262,0.016278746128082274,0.012417120933532715
456,0.03077664375305176,0.027732107639312744,0.022199199199676514,0.01729921817779541
512,0.03361140251159668,0.03465725183486938,0.024772250652313234,0.018872761726379396
528,0.03888590335845947,0.037827043533325194,0.027500710487365722,0.020861897468566894
600,0.04867040157318115,0.046019983291625974,0.03602438449859619,0.027280335426330567
756,0.0682653021812439,0.07188131809234619,0.05045830488204956,0.03854445219039917
1024,0.11452723503112792,0.13105167150497438,0.08506147861480713,0.0650775384902954
